,TEAM_ID,GAME_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
TEAM_ID,1.0,0.003273478979060668,,-0.03176905925888936,0.007744380571900037,-0.04085438962449339,-0.07499426030969382,-0.08110412825013517,-0.019577981981784853,0.00927655965316851,0.018042841292223007,-0.0223795104050383,0.03131863898391629,-0.01928570036422936,0.0023781287313531674,-0.06714346254850605,-0.011990311492492505,-0.007879445697513301,0.03355884989783311,0.01417564053224016,0.02385485591527556,0.006246964253431449,-0.045428788681706085,-0.038968501250666976,,0.03752195593310494,0.03752195593310494,0.03752195593310494,0.002291277078366774,0.03342385906759094,-0.00609716862025498,0.03971955038867179,0.08752367292062756,0.10605388096672809,0.021440260068870804,-0.008972076998974536,-0.017674535218192067,0.021153154428664743,-0.03239511953672515,0.01858307880211548,-0.0022523764201286597,0.06711005143092784,-0.010163453309874547,0.006108513540826073,-0.03447586717221175,0.013430696872699086,0.02381113703135917,-0.006145905067573913,0.05154409223442637,0.03655953885744282,
GAME_ID,0.003273478979060668,1.0,,0.3070900601741032,0.32488192776894886,0.11245186164833593,0.47729413100365153,0.623806028111739,0.010390229987704953,0.028254967060169316,-0.010301648782882146,0.09395944443393865,-0.04902780794073517,0.11187607491326511,0.06503065442544502,0.26472358289683917,-0.05536286570577389,-0.035240699551935255,0.006507178721834002,0.012759766735040937,-0.06271801606193526,-0.05000509367635121,0.41223120193397833,-0.025769775679709294,,0.004958790967546859,0.004958790967546859,0.004958790967546859,-0.5885452526968934,0.004191781847433914,-0.010976056351021297,0.0005544980759165213,0.012130200398872077,0.0006752397616823556,0.0032504258241948455,-0.038646171041351526,-0.042704718399962045,-0.01592227724087389,-0.025461635599291904,-0.0067374039534403695,-0.012828586046229076,-0.0009244855592852692,-0.008081197025059548,-0.02689739057174604,-0.02512942960401466,-0.008681369123606992,-0.013973038841474567,-0.045450345442549535,-0.0017776081475675666,0.004363217093389775,
MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGM,-0.03176905925888936,0.3070900601741032,,1.0,0.4548360995068784,0.7846580995492491,0.37848429357926117,0.1954720266600758,0.35338471180806313,-0.1629917602348307,-0.18464833919547063,0.02940566063748307,-0.00422569479542952,0.09238613767782339,0.07524924951174872,0.6276741608600022,-0.18173646980645422,0.06102929111359789,0.04897390612336812,-0.12256287377272976,0.020474547378316478,-0.16154641846278078,0.8505172216866926,0.469526642009808,,-0.3785289587612552,-0.3785289587612552,-0.3785289587612552,-0.17840473821621075,-0.9285045048404832,-0.3663193401166857,-0.7455709460797826,-0.25014467003482915,0.0017910668012605445,-0.351860267068143,0.15781969634688234,0.16609064859923733,-0.006154617768203866,-0.024995326666924726,-0.05674575165936219,-0.05678340012699984,-0.5556408692750519,-0.16857120380914203,-0.08060196930830207,-0.0554892707562713,-0.13042659343860993,0.025136853728846074,0.1371913547967125,-0.7775267166036496,-0.4681731381631181,
FGA,0.007744380571900037,0.32488192776894886,,0.4548360995068784,1.0,-0.19074982101634042,0.20528456208578572,0.38607192573631016,-0.132599085339882,-0.2274686507403094,-0.2437262387999846,0.0032520348487487727,0.4642594321792325,0.11154173647482714,0.369763167503012,0.23010302586760287,-0.3514997891947051,0.09126138722188613,0.016147454757035513,0.2268443881495166,0.004182610306037282,-0.183076029393698,0.328980591885949,-0.019452991013745136,,0.05237172913314421,0.05237172913314421,0.05237172913314421,-0.22389741201976368,-0.3553934283261428,-0.9218823753256223,0.21049725689164303,-0.03622827794673598,-0.2081749952987876,0.12979220804940955,0.21855178344702353,0.21961263587298932,0.016998924446858247,-0.4934457303015546,-0.06095914044246031,-0.3393181495781321,-0.1500031782100452,-0.3349347026868553,-0.1122010214048867,-0.02502002052508257,0.21079194172871554,0.0006618755444899723,0.1584618422278378,-0.19958079580138055,0.01406803751811551,
FG_PCT,-0.04085438962449339,0.11245186164833593,,0.7846580995492491,-0.19074982101634042,1.0,0.2742751557910555,-0.050720124979881126,0.48292078027834634,-0.021568696028432328,-0.034026492657615065,0.029735691702783656,-0.32513438434233244,0.023935854463059146,-0.1730601373563455,0.5313797289625388,0.04344899628746629,0.005328501045140931,0.04296002391992997,-0.29262291932798873,0.021050168427667385,-0.050079975095406674,0.7075771790595716,0.5294331669700647,,-0.45340680587724097,-0.45340680587724097,-0.45340680587724097,-0.04078781999781278,-0.7768066505881457,0.23445300312140946,-0.9695200076420157,-0.2507998335227346,0.14458817876940827,-0.4780833839915749,0.022020206368629874,0.030238670523614206,-0.01844290515639758,0.31483665306169195,-0.019538997494371036,0.17271831710323687,-0.5088966453661593,0.046425199690210854,-0.012410602697146871,-0.04422161603372028,-0.29025888490074003,0.02851531702472819,0.04059128048765822,-0.717778492580584,-0.525298293055965,
FG3M,-0.07499426030969382,0.47729413100365153,,0.37848429357926117,0.20528456208578572,0.2742751557910555,1.0,0.7802862107320695,0.6307152364304532,-0.0834667345635187,-0.11260525669613286,0.05804602682911348,-0.10903303904018607,0.09829237861700982,0.017940131333840016,0.44178990612529234,-0.035924785213032946,-0.03002701373655585,0.012472982605944,-0.08561929236672663,0.007905977857112268,-0.11900773777448231,0.5875550789934273,0.27532072161368654,,-0.22145415885868833,-0.22145415885868833,-0.22145415885868833,-0.3442815874998747,-0.23778051377175013,-0.050019658747595765,-0.22903260651323643,-0.841935647855706,-0.595363037371019,-0.6302635249624167,0.0679168596615014,0.07472885621122621,-0.02753386122443993,0.053708826299090844,-0.03716977350871477,0.008717647217130461,-0.32739420699997834,-0.020781621101980355,-0.006051163246693132,-0.026528344244089702,-0.1027873617507686,0.018247794200709853,0.0704614859865096,-0.41819384985715646,-0.2838407159998273,
FG3A,-0.08110412825013517,0.623806028111739,,0.1954720266600758,0.38607192573631016,-0.050720124979881126,0.7802862107320695,1.0,0.04369704375047718,-0.06930608939520543,-0.09586533774948426,0.05327109377520916,0.0030150727641201493,0.120461808690674,0.10318293422654498,0.28466742637275666,-0.06837625263515297,-0.009063527153608785,0.0026715342985451232,-0.05287929452248511,-0.007349158785449807,-0.09302151896604664,0.37654162293641247,0.026921420090207645,,-0.009572686950437101,-0.009572686950437101,-0.009572686950437101,-0.4429190297054172,-0.0011213695072979585,-0.18458388571270493,0.10473148758475292,-0.5147949301619106,-0.7473802107334685,-0.043968029858243385,0.04971021693275727,0.048339758395655144,-0.012853404484368901,-0.07112786020650526,-0.037134522530225846,-0.06345545048912482,-0.13034972596707486,-0.046880915264008775,-0.03611284845740537,-0.02312830084643405,-0.07515915540427243,0.005044149382838068,0.03378636195216279,-0.12424464271909798,-0.045306683119249194,
FG3_PCT,-0.019577981981784853,0.010390229987704953,,0.35338471180806313,-0.132599085339882,0.48292078027834634,0.6307152364304532,0.04369704375047718,1.0,-0.04685766968660053,-0.0606352347071748,0.026505139699752815,-0.173782237584831,0.012400534372898732,-0.09283033574287286,0.351429263620331,0.025435719493216265,-0.03308579840497269,0.015659827533934446,-0.07320476774376074,0.0250979372699734,-0.07512662971826949,0.4650949306653845,0.3917267008232889,,-0.3328885867600291,-0.3328885867600291,-0.3328885867600291,-0.018147107938404544,-0.3646828887877847,0.13915811378242476,-0.4761719651288591,-0.723616681912754,-0.05277836056798337,-0.9747573122541914,0.04529145957138999,0.05748592216017364,-0.02661615179511641,0.16801915868565576,-0.014195443010554028,0.08832111364347092,-0.35689002078712895,0.024095838564000664,0.030668392200536184,-0.013314280088248425,-0.07348820911078302,0.02722101034561947,0.06980681204323734,-0.5018354158363117,-0.38758115659636055,
FTM,0.00927655965316851,0.028254967060169316,,-0.1629917602348307,-0.2274686507403094,-0.021568696028432328,-0.0834667345635187,-0.06930608939520543,-0.04685766968660053,1.0,0.9213084152232465,0.33300563334385486,0.039004483594679895,0.029860237747259672,0.048310887056529986,-0.1373009557078331,-0.001468763988322581,0.02829746041899857,0.004878991707354429,-0.0004219445786545292,0.16964726448536502,0.6886905896292036,0.289343858554812,0.096751475824716,,-0.13210197529181572,-0.13210197529181572,-0.13210197529181572,0.039877327335446085,0.17739834648272906,0.24861122495916713,0.025098978800380076,0.1045576439081967,0.11041182806120113,0.04562871927842738,-0.9734533992217683,-0.9001052032493697,-0.32288214661333686,-0.03859570192466161,-0.02585344781175786,-0.04492204216381867,0.1438306119444719,-0.0031584709127608773,-0.03030188541743377,-0.00995695960219204,0.0021155430958609716,0.16142664206528218,-0.6775656748744479,-0.29285224767913326,-0.10430937071966066,
